OrderID,DisplayCustomer,Customer for OutShipment::CustomerID,ChemistryIDs,OutShipID,OrderID,ChemistryIDs,DisplayCustomer,Location,EstShipDate,TrailerTypeDisplay,Drum CT,TrailerTypes::MaxShipUnits,TrailerTypes::MaxWeight,cNumUnitsOut,cGrossWeight,cQuantity,InvUnit for OutShipment::InvUnitID,UnitTypes for InvUnit for OutShipment::UnitType,InvUnit for OutShipment::Area,MRL for OutShipment InvUnit::MaterialName,InvUnit for OutShipment::Notes,InvUnit for OutShipment::ESAUnit,InvUnit for OutShipment::GrossWeight,InvUnit for OutShipment::Quantity
K001403,Retriev Technologies AKA Toxco,5068,,2115,K001403,,Retriev Technologies AKA Toxco,Howell,05/15/2012,53’ Trailer,,24,"44,000 ",23,"41,379 ",,104039,4x4 Pallet,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"1,428.00 ",
,,,,,,,,,,,,,,,,,104042,4x4 Pallet,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"1,152.00 ",
,,,,,,,,,,,,,,,,,104043,4x4 Pallet,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"1,689.00 ",
,,,,,,,,,,,,,,,,,104044,4x4 Pallet,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"2,156.00 ",
,,,,,,,,,,,,,,,,,104045,4x4 Pallet,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"2,077.00 ",
,,,,,,,,,,,,,,,,,104047,4x4 Pallet,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"2,100.00 ",
,,,,,,,,,,,,,,,,,104048,4x4 Pallet,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"1,691.00 ",
,,,,,,,,,,,,,,,,,104049,4x4 Pallet,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"2,764.00 ",
,,,,,,,,,,,,,,,,,104050,4x4 Pallet,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"2,055.00 ",
,,,,,,,,,,,,,,,,,104051,4x4 Pallet,Aisle 1,M-BNL-202 VRLA Orng/Blu/Yel,,,"2,047.00 ",
,,,,,,,,,,,,,,,,,103519,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,,"2,115.00 ",
,,,,,,,,,,,,,,,,,103521,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,,"2,107.00 ",
,,,,,,,,,,,,,,,,,103771,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,,"2,042.00 ",
,,,,,,,,,,,,,,,,,103772,4x4 Pallet,Aisle 1,M-BNL-208 Auto Size VRLA,,,"2,026.00 ",
,,,,,,,,,,,,,,,,,97405,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,500.00 ",
,,,,,,,,,,,,,,,,,103524,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,787.00 ",
,,,,,,,,,,,,,,,,,103632,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,942.00 ",
,,,,,,,,,,,,,,,,,103851,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,205.00 ",
,,,,,,,,,,,,,,,,,103853,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,834.00 ",
,,,,,,,,,,,,,,,,,103854,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,217.00 ",
,,,,,,,,,,,,,,,,,103856,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,195.00 ",
,,,,,,,,,,,,,,,,,103879,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"2,044.00 ",
,,,,,,,,,,,,,,,,,103886,4x4 Pallet,Aisle 1,M-BWL-304 IndCell Large Flooded,,,"1,206.00 ",
